Vuosi,Kk,Pv,Klo,Aikavyöhyke,UV-B-säteily (index)
2021,4,12,00:00,UTC,0
2021,4,12,01:00,UTC,0
2021,4,12,02:00,UTC,0
2021,4,12,03:00,UTC,0
2021,4,12,04:00,UTC,0.1
2021,4,12,05:00,UTC,0.1
2021,4,12,06:00,UTC,0.2
2021,4,12,07:00,UTC,0.6
2021,4,12,08:00,UTC,1.3
2021,4,12,09:00,UTC,1.4
2021,4,12,10:00,UTC,1.9
2021,4,12,11:00,UTC,1.8
2021,4,12,12:00,UTC,1.5
2021,4,12,13:00,UTC,0.8
2021,4,12,14:00,UTC,0.5
2021,4,12,15:00,UTC,0.3
2021,4,12,16:00,UTC,0.1
2021,4,12,17:00,UTC,0.1
2021,4,12,18:00,UTC,0.1
2021,4,12,19:00,UTC,0.1
2021,4,12,20:00,UTC,0
2021,4,12,21:00,UTC,0.1
2021,4,12,22:00,UTC,0.1
2021,4,12,23:00,UTC,0.1
2021,4,13,00:00,UTC,0
